100g*5瓶益力多,26
100g卫龙点心面黑椒牛排味,3
100g果王咸柑桔罐装,14
100g越南LIPO奶味面包干,1
103g康师傅红烧牛肉面,8
107g出前一丁桶面酱香牛肉王,6
10g卫龙亲嘴烧香辣味,23
10g越南LIPO奶味面包干0046,2
110g顺宝九制话梅,29
117gUFO炒面铁板色拉鱿鱼风味,2
123gUFO炒面XO酱海鲜风味,4
12g劲仔小鱼卤香味,15
12g劲仔小鱼麻辣味,68
12g劲仔小鱼（香辣味）,1
130g果王玉带蚕豆,6
13g无穷烤鸡小腿蜂蜜味,97
13g雀巢咖啡1+2特浓,1
145g果王迷你山楂包装,9
145ml旺仔牛奶盒装,119
145ml旺仔牛奶罐装,5
148g富甲一方紫薯仔,19
14g德芙巧克力,1
150g健能酸奶原味,30
150g洽洽原香瓜子,13
150抽诗竹竹纤维面巾纸,4
160g盼盼手撕面包,21
180g统一满汉全席台式半筋半肉牛肉面,9
180ml雀巢咖啡罐装,16
188g澳门永辉鸡仔饼,10
205g伊利安慕希原味,50
205ml安慕希蓝莓味,2
20g咩咩世界虾味条,1
20g咪咪虾条马来西亚风味,190
20g士力架,1
20g马来西亚风味咪咪蟹味粒0219,40
220g宝丰龙龟苓膏,4
225g味之不规则饼干芝士味,9
250ML东鹏特饮,23
250ml燕塘原味酸奶,94
250ml燕塘甜牛奶,113
250ml燕塘红枣牛奶,109
250ml王老吉盒装,17
250ml红牛,58
250ml统一麦香奶茶,20
250ml维他原味豆奶,199
250ml维他奶低糖原味,28
250ml维他奶巧克力味,67
250ml维他奶黑豆奶饮品,10
250ml维他柠檬茶,225
250ml维他椰子味豆奶7716,3
250ml维他椰子植物蛋白饮料,8
250ml香满楼纯牛奶,3
260g马来西亚进口茱蒂丝口口香饼干,12
268ml雀巢咖啡丝滑拿铁,45
2g韩国海牌海苔,60
30g元朗小蛋卷,12
30g无穷农场盐_鸡蛋,205
32g卫龙亲嘴烧,100
32g卫龙亲嘴烧川香味,9
32g卫龙亲嘴烧红烧牛肉味,63
330ml伊利畅意乳酸菌原味,62
330ml伊利畅意乳酸菌草莓味,1
340ml蒙牛优益C乳酸菌,2
34g公仔迷你杯牛肉味,16
34g公仔迷你杯风味排骨味,3
37.5g费列罗榛果威化巧克力3颗,17
370g泰奇八宝粥,18
40g上好佳日式鱼果,15
40g上好佳田园薯片番茄味,2
40g乐事美国经典原味,33
40g乐事薯片墨西哥鸡汁番茄味,9
40g乐事薯片黄瓜味,28
40g卫龙点心面黑椒牛排味,10
40g双汇玉米热狗肠,240
40g呀土豆番茄酱味,26
40g呀土豆薯片滋香烤鸡味,24
40g盼盼手撕面包,1
430g泰奇八宝粥,71
450ml美汁源果粒橙,69
45g双汇泡面拍挡,65
480ml小茗同学冷泡溜溜哒茶,8
480ml小茗同学冷泡青柠红茶,51
48g好丽友薯愿香烤原味,24
500ML宝矿力,1
500ml农夫果园 (芒果+菠萝+番石榴),24
500ml加多宝,66
500ml康师傅冰糖雪梨,13
500ml恒大冰泉矿泉水,5
500ml统一冰糖雪梨,3
500ml统一阿萨姆奶茶,66
500ml营养快线原味,3
50g上好佳日式鱼果,26
50g上好佳田园薯片番茄味,28
50g双层百力滋奶咖味,3
50g双层百力滋特浓番茄味,4
50g马赛克手撕鱿鱼条,14
52g旺旺仙贝,55
55g奥利奥原味夹心饼干,23
55g奥利奥原味芝士饼干,67
55g奥利奥迷你杯夹心小饼干杯装原味,3
58g丽芝士纳宝帝奶酪威化饼干,74
5片装益达绿箭口香糖,13
600ml可口可乐,69
600ml脉动青柠,50
600ml雪碧,63
65g卫龙亲嘴豆皮,42
68g多力多玉米片爆香热辣味,10
68g好丽友巧克力派2枚,35
68g好丽友蛋黄派2枚,13
70g乐事薯片原味,15
70g乐事薯片青柠味,1
70g乐事薯片黄瓜味,20
70g乐事薯片（原味）,6
70g乐事薯片（黄瓜味）,14
70g乖媳妇野山泡椒凤爪,76
75g新麦潮天然酵母面包（北海道牛奶风味）,60
78g卫龙亲嘴语辣条,65
78g卫龙亲语,6
78g合味道杯面香菇炖鸡风味,6
80g四洲粟一烧烧烤味,28
80g盼盼手撕面包,5
80g香飘飘椰果奶茶原味,20
80g香飘飘椰果奶茶麦香味,12
80g马赛克香蕉片,8
83g汤达人酸辣豚骨拉面,1
85g嘉士利果乐果香夹心饼干蓝莓味,57
85g新麦潮北海道吐司,112
85g新麦潮手撕面包（提子味）,88
85g统一老坛酸菜牛肉面,84
86g合味道浓猪骨味,13
86g合味道海鲜风味,103
91g徐福记凤梨酥,28
上好佳田园薯片,13
东鹏特饮,238
丽芝士纳宝帝奶酪威化饼干,16
乐事薯片（青柠）,3
乐事薯片（黄瓜味）,16
乐虎,8
乐虎（380ml）,2
乖媳妇野山椒风爪,13
伊利优酸乳,111
伊利纯牛奶,48
优益C活菌型乳酸菌饮品,8
健能酸奶,11
农夫果园,9
冰糖雪梨,9
冰红茶（罐）,5
凤爪,3
加多宝,20
劲仔小鱼,3
劲仔小鱼（卤香味）,10
劲仔小鱼（香辣味）,1
劲仔小鱼（麻辣味）,20
卫龙亲嘴烧红烧牛肉味,32
卫龙亲嘴烧麦辣鸡汁味,2
卫龙大面筋,65
印尼芝士威化饼干,28
双汇玉米热狗肠,40
口味王槟榔（红）,15
口味王槟榔（绿色）,2
口味王槟榔（绿）,15
可乐可乐,30
可口可乐330ml,66
可口可乐330ml（罐）,4
可口可乐最新款,54
可口可乐（500ml）,64
合味道（浓猪骨）,3
合味道（海鲜风味）,16
味之不规则饼干（芝士味）,5
和成天下（黄）,4
咪咪,1
咪咪虾条马来西亚风味,68
商品1,2
商品14,2
四洲粟一烧烧烤味,3
多力多滋（热辣味）,2
多芙利香草奶油味蛋糕,1
天地一号,5
奥利奥原味芝士,12
好吃点,21
好吃点小饼干,15
威化饼干,2
安慕希酸奶,1
小茗同学,2
小茗同学冷泡茶（乳酸菌味）,3
小茗同学（青柠红茶）,1
小鱼仔,53
尖叫,16
巧克力奶油味蛋糕,1
康师傅拉面(袋),1
康师傅矿泉水,10
怡宝矿泉水,1
怡宝纯净水,657
手撕素肉排,15
新麦潮北海道吐司,11
新麦潮天然酵母面包,5
新麦潮天然酵母面包（牛奶风味）,7
新麦潮天然酵母面包（良品铺子）,4
新麦潮手撕面包（提子味）,1
无穷农场盐_鸡蛋,28
无穷烤鸡小腿（蜂蜜）,37
日式鱼果,12
旺仔牛奶,17
旺仔牛奶145ml,15
果粒橙,63
椰树牌椰汁,13
每日特惠,1
泰奇八宝粥,17
湘潭铺子(羽泉版),11
熊字饼,11
燕塘原味酸奶,14
燕塘甜牛奶,22
燕塘红枣牛奶,19
王老吉（500ml）,92
王老吉（罐）,127
珠江纯生啤酒,3
百事可乐330ml,7
百事可乐500ml,13
益力多100g*5瓶,5
盼盼手撕面包,4
红牛,100
经典奶茶,1
统一冰红茶,138
统一来一桶香辣老坛酸菜牛肉面,24
统一绿茶,78
统一阿萨姆奶茶,11
维他原味豆奶,46
维他奶,41
维他奶黑豆奶饮品,2
维他奶（巧克力味）,20
维他柠檬茶,63
维他柠檬茶330ml（罐）,3
美年达（罐）,17
美汁源果粒橙,20
脉动,235
脉动（椰子菠萝口味）,3
脉动（青柠）,14
芙蓉王,8
芬达330ml,97
茉莉蜜茶,29
营养快线,179
诗竹竹纤维面巾纸,9
越南LIPO奶味面包干100g,8
迷你纸巾,3
银鹭八宝粥,61
阿萨姆奶茶,151
阿萨姆煎茶奶绿,17
雀巢咖啡,17
雪力矿泉水,6
雪碧,8
雪碧330ml,42
雪碧最新款,72
雪碧（500ml）,77
韩国海牌海苔,26
顺宝九制梅,6
香脆肠,22
香豆干,63
鸡爪,7
鸭翅,112
